group_name,group_level,strata_name,strata_level,variable_name,variable_level,variable_type,estimate_type,estimate,estimate_suppressed,standard_concept_name,standard_concept_id,source_concept_name,source_concept_id,domain_id,codelist_name,cohort_name,cdm_name
By concept,Standard concept: Patient meets COVID-19 laboratory diagnostic criteria (704996) Source concept: COVID-19 confirmed by laboratory test (940652) Domain: observation,Overall,Overall,Person count,Overall,Numeric,Count,414,FALSE,Patient meets COVID-19 laboratory diagnostic criteria,704996,COVID-19 confirmed by laboratory test,940652,observation,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Patient meets COVID-19 clinical diagnostic criteria (704995) Source concept: COVID-19 confirmed using clinical diagnostic criteria (940653) Domain: observation,Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,Patient meets COVID-19 clinical diagnostic criteria,704995,COVID-19 confirmed using clinical diagnostic criteria,940653,observation,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: COVID-19 (37311061) Source concept: Acute diseas caused SARS-CoV-2 (940632) Domain: condition,Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,COVID-19,37311061,Acute diseas caused SARS-CoV-2,940632,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Pneumonia caused by SARS-CoV-2 (3661408) Source concept: Pneumonia due to SARS-CoV-2 (940721) Domain: condition,Overall,Overall,Person count,Overall,Numeric,Count,11,FALSE,Pneumonia caused by SARS-CoV-2,3661408,Pneumonia due to SARS-CoV-2,940721,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: COVID-19 (37311061) Source concept: COVID-19 confirmed using clinical diagnostic criteria (940653) Domain: condition,Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,COVID-19,37311061,COVID-19 confirmed using clinical diagnostic criteria,940653,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: COVID-19 (37311061) Source concept: COVID-19 confirmed by laboratory test (940652) Domain: condition,Overall,Overall,Person count,Overall,Numeric,Count,414,FALSE,COVID-19,37311061,COVID-19 confirmed by laboratory test,940652,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: COVID-19 (37311061) Source concept: Disease caused by 2019-nCoV (novel coronavirus) (715737) Domain: condition,Overall,Overall,Person count,Overall,Numeric,Count,319,FALSE,COVID-19,37311061,Disease caused by 2019-nCoV (novel coronavirus),715737,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
By concept,Standard concept: Infection of upper respiratory tract caused by Severe acute respiratory syndrome coronavirus 2 (37310286) Source concept: URTI due to SARS-CoV-2 (940859) Domain: condition,Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,Infection of upper respiratory tract caused by Severe acute respiratory syndrome coronavirus 2,37310286,URTI due to SARS-CoV-2,940859,condition,Covid diagnostic narrow,covid_diagnostic_test,CPRD GOLD
Codelist,Overall,Overall,Overall,Record count,Overall,Numeric,Count,2671,FALSE,NA,NA,NA,NA,NA,"COVID test, excl antibody",covid_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) not detected (715748) Domain: measurement,Overall,Overall,Record count,Overall,Numeric,Count,5,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) not detected,715748,measurement,"COVID test, excl antibody",covid_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) detected (715749) Domain: measurement,Overall,Overall,Record count,Overall,Numeric,Count,2666,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) detected,715749,measurement,"COVID test, excl antibody",covid_test,CPRD GOLD
Codelist,Overall,Overall,Overall,Person count,Overall,Numeric,Count,2501,FALSE,NA,NA,NA,NA,NA,"COVID test, excl antibody",covid_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) not detected (715748) Domain: measurement,Overall,Overall,Person count,Overall,Numeric,Count,5,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) not detected,715748,measurement,"COVID test, excl antibody",covid_test,CPRD GOLD
By concept,Standard concept: Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen (756065) Source concept: 2019-nCoV (novel coronavirus) detected (715749) Domain: measurement,Overall,Overall,Person count,Overall,Numeric,Count,2501,FALSE,Measurement of Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in Unspecified specimen,756065,2019-nCoV (novel coronavirus) detected,715749,measurement,"COVID test, excl antibody",covid_test,CPRD GOLD
Codelist,Overall,Overall,Overall,Record count,Overall,Numeric,Count,1043,FALSE,NA,NA,NA,NA,NA,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: Influenza A virus Injectable Suspension (36272024) Source concept: Influenza inactivated split virion Vaccination (sanofi pasteur MSD Ltd) (45743707) Domain: drug,Overall,Overall,Record count,Overall,Numeric,Count,130,FALSE,Influenza A virus Injectable Suspension,36272024,Influenza inactivated split virion Vaccination (sanofi pasteur MSD Ltd),45743707,drug,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: Influenza A virus Injectable Suspension (36272024) Source concept: M.F.V.-JECT MONODOSE amp .5 ML VAC (37838607) Domain: drug,Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,Influenza A virus Injectable Suspension,36272024,M.F.V.-JECT MONODOSE amp .5 ML VAC,37838607,drug,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: Influenza A virus Injectable Suspension (36272024) Source concept: Influenza inactivated split virion Vaccination (Aventis Pasteur MSD) (45740851) Domain: drug,Overall,Overall,Record count,Overall,Numeric,Count,839,FALSE,Influenza A virus Injectable Suspension,36272024,Influenza inactivated split virion Vaccination (Aventis Pasteur MSD),45740851,drug,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: influenza A virus (H1N1) antigen Injectable Suspension [Pandemrix] (40745078) Source concept: Pandemrix vaccine emulsion and suspension for emulsion for injection (GlaxoSmithKline UK Ltd) (45734003) Domain: drug,Overall,Overall,Record count,Overall,Numeric,Count,21,FALSE,influenza A virus (H1N1) antigen Injectable Suspension [Pandemrix],40745078,Pandemrix vaccine emulsion and suspension for emulsion for injection (GlaxoSmithKline UK Ltd),45734003,drug,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: Influenza A virus Injectable Suspension (36272024) Source concept: M.F.V.-JECT MONOVALENT .5 ML VAC (37838608) Domain: drug,Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,Influenza A virus Injectable Suspension,36272024,M.F.V.-JECT MONOVALENT .5 ML VAC,37838608,drug,influenza_1,influenza,CPRD GOLD
By concept,"Standard concept: influenza A virus (H1N1) antigen Injectable Suspension (43607290) Source concept: Influenza H1N1 vaccine (split virion, inactivated, adjuvanted) emulsion and suspension for emulsion for injection (45735836) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,48,FALSE,influenza A virus (H1N1) antigen Injectable Suspension,43607290,"Influenza H1N1 vaccine (split virion, inactivated, adjuvanted) emulsion and suspension for emulsion for injection",45735836,drug,influenza_1,influenza,CPRD GOLD
Codelist,Overall,Overall,Overall,Person count,Overall,Numeric,Count,614,FALSE,NA,NA,NA,NA,NA,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: Influenza A virus Injectable Suspension (36272024) Source concept: Influenza inactivated split virion Vaccination (sanofi pasteur MSD Ltd) (45743707) Domain: drug,Overall,Overall,Person count,Overall,Numeric,Count,55,FALSE,Influenza A virus Injectable Suspension,36272024,Influenza inactivated split virion Vaccination (sanofi pasteur MSD Ltd),45743707,drug,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: Influenza A virus Injectable Suspension (36272024) Source concept: M.F.V.-JECT MONODOSE amp .5 ML VAC (37838607) Domain: drug,Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,Influenza A virus Injectable Suspension,36272024,M.F.V.-JECT MONODOSE amp .5 ML VAC,37838607,drug,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: Influenza A virus Injectable Suspension (36272024) Source concept: Influenza inactivated split virion Vaccination (Aventis Pasteur MSD) (45740851) Domain: drug,Overall,Overall,Person count,Overall,Numeric,Count,493,FALSE,Influenza A virus Injectable Suspension,36272024,Influenza inactivated split virion Vaccination (Aventis Pasteur MSD),45740851,drug,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: influenza A virus (H1N1) antigen Injectable Suspension [Pandemrix] (40745078) Source concept: Pandemrix vaccine emulsion and suspension for emulsion for injection (GlaxoSmithKline UK Ltd) (45734003) Domain: drug,Overall,Overall,Person count,Overall,Numeric,Count,21,FALSE,influenza A virus (H1N1) antigen Injectable Suspension [Pandemrix],40745078,Pandemrix vaccine emulsion and suspension for emulsion for injection (GlaxoSmithKline UK Ltd),45734003,drug,influenza_1,influenza,CPRD GOLD
By concept,Standard concept: Influenza A virus Injectable Suspension (36272024) Source concept: M.F.V.-JECT MONOVALENT .5 ML VAC (37838608) Domain: drug,Overall,Overall,Person count,Overall,Numeric,Count,NA,TRUE,Influenza A virus Injectable Suspension,36272024,M.F.V.-JECT MONOVALENT .5 ML VAC,37838608,drug,influenza_1,influenza,CPRD GOLD
By concept,"Standard concept: influenza A virus (H1N1) antigen Injectable Suspension (43607290) Source concept: Influenza H1N1 vaccine (split virion, inactivated, adjuvanted) emulsion and suspension for emulsion for injection (45735836) Domain: drug",Overall,Overall,Person count,Overall,Numeric,Count,41,FALSE,influenza A virus (H1N1) antigen Injectable Suspension,43607290,"Influenza H1N1 vaccine (split virion, inactivated, adjuvanted) emulsion and suspension for emulsion for injection",45735836,drug,influenza_1,influenza,CPRD GOLD
Codelist,Overall,Overall,Overall,Record count,Overall,Numeric,Count,150713,FALSE,NA,NA,NA,NA,NA,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) (42871160) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"Influenza, seasonal, injectable",40213153,Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Mylan),42871160,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Viroflu vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd) (45741087) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,110,FALSE,"Influenza, seasonal, injectable",40213153,Viroflu vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd),45741087,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) (36668614) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,58,FALSE,"Influenza, seasonal, injectable",40213153,Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd),36668614,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Intanza 9microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd) (37834477) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"Influenza, seasonal, injectable",40213153,Intanza 9microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd),37834477,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influenza vaccine (split virion, inactivated) 15microgram strain suspension for injection 0.1ml pre-filled syringes (45737664) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,59,FALSE,"Influenza, seasonal, injectable",40213153,"Influenza vaccine (split virion, inactivated) 15microgram strain suspension for injection 0.1ml pre-filled syringes",45737664,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influenza vaccine (surface antigen, inactivated, virosome) suspension for injection 0.5ml pre-filled syringes (37744351) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"Influenza, seasonal, injectable",40213153,"Influenza vaccine (surface antigen, inactivated, virosome) suspension for injection 0.5ml pre-filled syringes",37744351,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) (45741088) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,1294,FALSE,"Influenza, seasonal, injectable",40213153,Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Mylan),45741088,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: First pandemic influenza vaccination (45428835) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,1020,FALSE,"influenza virus vaccine, unspecified formulation",40213158,First pandemic influenza vaccination,45428835,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Begrivac vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd) (45735492) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,1147,FALSE,"Influenza, seasonal, injectable",40213153,Begrivac vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd),45735492,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: First pandemic influenza vaccination given by other healthcare provider (45455372) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,22,FALSE,"influenza virus vaccine, unspecified formulation",40213158,First pandemic influenza vaccination given by other healthcare provider,45455372,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd) (45738413) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"Influenza, seasonal, injectable",40213153,"Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)",45738413,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (45742638) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,7986,FALSE,"Influenza, seasonal, injectable",40213153,"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes",45742638,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: Influenza vacc.administrat.NOS (45436273) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,400,FALSE,"influenza virus vaccine, unspecified formulation",40213158,Influenza vacc.administrat.NOS,45436273,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influenza vaccine (split virion, inactivated) 9microgram strain suspension for injection 0.1ml pre-filled syringes (37834340) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,12,FALSE,"Influenza, seasonal, injectable",40213153,"Influenza vaccine (split virion, inactivated) 9microgram strain suspension for injection 0.1ml pre-filled syringes",37834340,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Intanza 15microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd) (45737665) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,110,FALSE,"Influenza, seasonal, injectable",40213153,Intanza 15microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd),45737665,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd) (45731580) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,1333,FALSE,"Influenza, seasonal, injectable",40213153,Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd),45731580,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd) (45730883) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,2849,FALSE,"Influenza, seasonal, injectable",40213153,Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd),45730883,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Adjuvanted quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syrin (35401509) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,13,FALSE,"Influenza, seasonal, injectable",40213153,"Adjuvanted quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syrin",35401509,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) (42871161) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,30,FALSE,"Influenza, seasonal, injectable",40213153,Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan),42871161,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd) (45733829) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,1169,FALSE,"Influenza, seasonal, injectable",40213153,Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd),45733829,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (36668949) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,64,FALSE,"Influenza, seasonal, injectable",40213153,"Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes",36668949,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: Seasonal influenza vaccination (45492214) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,45089,FALSE,"influenza virus vaccine, unspecified formulation",40213158,Seasonal influenza vaccination,45492214,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: Seasonal influenza vaccination given in school (940615) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,5,FALSE,"influenza virus vaccine, unspecified formulation",40213158,Seasonal influenza vaccination given in school,940615,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: Influenza vaccination (45458696) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,82787,FALSE,"influenza virus vaccine, unspecified formulation",40213158,Influenza vaccination,45458696,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd) (37724678) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,17,FALSE,"Influenza, seasonal, injectable",40213153,Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd),37724678,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) (45736002) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,1829,FALSE,"Influenza, seasonal, injectable",40213153,Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan),45736002,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd) (45734328) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,250,FALSE,"Influenza, seasonal, injectable",40213153,Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd),45734328,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: FLU/VAC/SPLIT-MERIEUX PREFILLED SYRINGE VAC (37837868) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,364,FALSE,"influenza virus vaccine, unspecified formulation",40213158,FLU/VAC/SPLIT-MERIEUX PREFILLED SYRINGE VAC,37837868,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: Flu vaccination administration (45522900) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,378,FALSE,"influenza virus vaccine, unspecified formulation",40213158,Flu vaccination administration,45522900,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: Influenza vaccination given by other healthcare provider (45505393) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,170,FALSE,"influenza virus vaccine, unspecified formulation",40213158,Influenza vaccination given by other healthcare provider,45505393,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) (45733505) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,378,FALSE,"Influenza, seasonal, injectable",40213153,Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd),45733505,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) (37708673) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,5,FALSE,"Influenza, seasonal, injectable",40213153,Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd),37708673,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (37708667) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,162,FALSE,"Influenza, seasonal, injectable",40213153,"Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes",37708667,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Quadrivalent vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur) (42522370) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,213,FALSE,"Influenza, seasonal, injectable",40213153,"Quadrivalent vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)",42522370,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd) (45737043) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,95,FALSE,"Influenza, seasonal, injectable",40213153,"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)",45737043,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) (36668615) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,78,FALSE,"Influenza, seasonal, injectable",40213153,Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd),36668615,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (A A H Pharmaceuticals Ltd) (37708665) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,NA,TRUE,"Influenza, seasonal, injectable",40213153,"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (A A H Pharmaceuticals Ltd)",37708665,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Inflexal V vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd) (45735513) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,160,FALSE,"Influenza, seasonal, injectable",40213153,Inflexal V vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd),45735513,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) (42871154) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,197,FALSE,"Influenza, seasonal, injectable",40213153,Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd),42871154,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: Influenza vacc. administratn. (45439557) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,637,FALSE,"influenza virus vaccine, unspecified formulation",40213158,Influenza vacc. administratn.,45439557,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) (36667069) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,55,FALSE,"Influenza, seasonal, injectable",40213153,"Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)",36667069,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: Influenza, seasonal, injectable (40213153) Source concept: Influvac Desu vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd) (37724497) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,14,FALSE,"Influenza, seasonal, injectable",40213153,Influvac Desu vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd),37724497,drug,influenza_2,influenza,CPRD GOLD
By concept,"Standard concept: influenza virus vaccine, unspecified formulation (40213158) Source concept: Second pandemic influenza vaccination (45488917) Domain: drug",Overall,Overall,Record count,Overall,Numeric,Count,34,FALSE,"influenza virus vaccine, unspecified formulation",40213158,Second pandemic influenza vaccination,45488917,drug,influenza_2,influenza,CPRD GOLD
